kyu,waza,taijutsu,embeded,disco_tissier,otro
2,suwari waza,kata dori ikkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/u1OUCSo1Yy8?si=tYIMOZO-BiSb7QJk&amp;start=7"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori ikkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=H8gR1Kdzd2CNm-z3&amp;clip=UgkxHNBwe4wi8HTo6S-p7E9TZK1u6fzCgsTL&amp;clipt=EPb_Lxi72DE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=785,
2,tachi waza,kata dori kokyu nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/_qwNAt2A4SQ?si=MghWYdsjvdRp87-o&amp;start=4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,suwari waza,kata dori nikyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Hz2J2kM5hus?si=z2_OkwZoGKAjhNPM&amp;start=4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori nikyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/BQ-5O7a_0n8?si=YQ6b8S-MotkECXDP"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,suwari waza,kata dori nikyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Hz2J2kM5hus?si=1JvzLDhq18ETaHax&amp;start=26"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori nikyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/gNHC_p5y5kw?si=NxK9H3OWWTU5rHqz"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori sankyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/XlMJQMbfKo8?si=nf0NVGLC8NU6cPs9&amp;start=3"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori sankyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/XlMJQMbfKo8?si=HP4CEompNs9BuahT&amp;start=32"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori shiho nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=mlzehlgLl60560Xx&amp;clip=UgkxvQnJJq3lGYpnFjVk9ewJk7KMMucBuFGN&amp;clipt=EKP-Jhjrhyg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=639,
2,tachi waza,kata dori yonkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PdLR-g5_avw?si=rxKuB_kHHr7ucJHf&amp;start=1"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori yonkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PdLR-g5_avw?si=qZag2ko__EVTpngG&amp;start=36"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,katate dori (libre),,,
2,hanmi handachi waza,katate dori kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/gCO1popi3kU?si=vde6YKT56nlozYJY&amp;start=4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,hanmi handachi waza,katate dori shihonage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/aPrGOf0qDac?si=N0AxKRiMlthuuiV4&amp;start=5"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,morote dori ikkyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/LgIcPJYY9Qs?si=3MIVvnssCsnOHsOl&amp;clip=UgkxYEpWqJeeISbGMn6Gyj76kiBeCQdmol4Q&amp;clipt=EI3JBBi6rAU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
